
CommandType     Name                                               Version    Source
Alias           Get-AzCognitiveServicesAccountSkus                 1.14.1     Az.CognitiveServices
Alias           Get-AzContainerGroupOutboundNetworkDependencyEndp… 4.0.0      Az.ContainerInstance
Alias           Get-AzDatalakeGen2FileSystem                       6.1.2      Az.Storage
Alias           Get-AzDomain                                       2.16.0     Az.Accounts
Alias           Get-AzEventHubNamespaceV2                          4.2.0      Az.EventHub
Alias           Get-AzExpressRouteCircuitStats                     7.4.0      Az.Network
Alias           Get-AzFederatedIdentityCredentials                 1.2.0      Az.ManagedServiceIdentity
Alias           Get-AzInterfaceEndpoint                            7.4.0      Az.Network
Alias           Get-AzIotHubCVC                                    2.7.5      Az.IotHub
Alias           Get-AzIotHubDCL                                    2.7.5      Az.IotHub
Alias           Get-AzIotHubDCS                                    2.7.5      Az.IotHub
Alias           Get-AzIotHubEHCG                                   2.7.5      Az.IotHub
Alias           Get-AzIotHubMCS                                    2.7.5      Az.IotHub
Alias           Get-AzIotHubMsgEnrich                              2.7.5      Az.IotHub
Alias           Get-AzIotHubTracing                                2.7.5      Az.IotHub
Alias           Get-AzLog                                          5.1.0      Az.Monitor
Alias           Get-AzMediaServiceKeys                             1.1.2      Az.Media
Alias           Get-AzMlWebServiceKeys                             1.1.3      Az.MachineLearning
Alias           Get-AzNotificationHubAuthorizationRules            1.1.2      Az.NotificationHubs
Alias           Get-AzNotificationHubListKeys                      1.1.2      Az.NotificationHubs
Alias           Get-AzNotificationHubPNSCredentials                1.1.2      Az.NotificationHubs
Alias           Get-AzNotificationHubsNamespaceAuthorizationRules  1.1.2      Az.NotificationHubs
Alias           Get-AzNotificationHubsNamespaceListKeys            1.1.2      Az.NotificationHubs
Alias           Get-AzOperationalInsightsIntelligencePacks         3.2.0      Az.OperationalInsights
Alias           Get-AzOperationalInsightsWorkspaceManagementGroups 3.2.0      Az.OperationalInsights
Alias           Get-AzOperationalInsightsWorkspaceSharedKeys       3.2.0      Az.OperationalInsights
Alias           Get-AzRecoveryServicesAsrNotificationSetting       6.7.1      Az.RecoveryServices
Alias           Get-AzRecoveryServicesAsrVaultSettings             6.7.1      Az.RecoveryServices
